,Man5,AA,AGn,GnGn,MGn,NaA,NaGn,NaNa,AAF,AGnF,AMF,GnGnF,MGnF,NaAF,NaGnF,NaNaF,Peptide
Exp,0.030,0,0,0.351,0.072,0,0,0,0,0,0,0.432,0.075,0,0,0,0.040
ANN-2,0.025,0,0.009,0.296,0.084,0.005,0.014,0.005,0.005,0.010,0.005,0.405,0.089,0.004,0.015,0.005,0.037
ANN-3,0.021,0.004,0.004,0.315,0.095,0.005,0.009,0.005,0.005,0.005,0.005,0.400,0.095,0.004,0.014,0.005,0.037
EN/RR/PLS,0.021,0.001,0.015,0.290,0.080,0.009,0.021,0.007,-0.013,0.028,0.003,0.389,0.076,-0.003,0.027,0.007,0.033
Our ANN,,,,0.338,0.075,,,,,,,0.460,0.069,,,,
Train Mean,0.023,0.033,0.017,0.204,0.056,0.058,0.026,0.015,0.039,0.030,0.003,0.276,0.063,0.074,0.027,0.023,0.031
Exp Stdev,0.011,0,0,0.011,0.007,0,0,0,0,0,0,0.013,0.006,0.000,0.000,0,0.022
EN/RR/PLS Stdev,3.90E-06,0.0000391,0.00000521,0.0000982,0.0000267,7.80E-05,0.00000192,0.0000197,0.0000502,0.00000698,0.000000895,1.26E-04,0.0000286,0.0000883,0.00000893,0.0000297,0.000000851
