,G0-GnGn,G0F-GnGnF,G1F-AGnF,G2-AA,G2F-AAF,Man5
Exp,0.038,0.408,0.419,0.004,0.077,0.014
ANN-2,0.051,0.44,0.414,0.006,0.066,0.026
EN/RR/PLS,0.046,0.447,0.407,0.006,0.072,0.024
Our ANN,,0.448,0.414,,0.073,
Train Mean,0.05,0.468,0.393,0.005,0.064,0.021
Exp Stdev,0.004,0.033,0.021,0.001,0.011,0.002
EN/RR/PLS Stdev,0.004,0.032,0.021,0,0.01,0.004
